種類,L1,L2,L3,L4,L1/L2,L4/L1
シハイスミレ,23.9,12.8,17.5,6.4,1.87,0.268
シハイスミレ,25.1,16.5,18.8,6.3,1.52,0.251
シハイスミレ,33.1,20.3,20.6,12.5,1.63,0.378
シハイスミレ,30.2,15.1,20.9,9.3,2,0.308
シハイスミレ,30.8,16,25.8,5,1.93,0.162
シハイスミレ,31.3,19.7,24.5,6.8,1.59,0.217
シハイスミレ,41.9,22.2,31.2,10.7,1.89,0.255
シハイスミレ,35.9,20,25.5,10.4,1.8,0.29
シハイスミレ,35.8,23.2,24.9,10.9,1.54,0.304
シハイスミレ,39.8,22.4,29.8,10,1.78,0.251
シハイスミレ,42,24.6,31.9,10.1,1.71,0.24
シハイスミレ,47.1,22.9,37,10.1,2.06,0.214
シハイスミレ,21.4,15.1,12.9,8.5,1.42,0.397
シハイスミレ,22.9,13.7,16.8,6.1,1.67,0.266
シハイスミレ,23.8,12.4,18.8,5,1.92,0.21
シハイスミレ,25,13.3,20.1,4.9,1.88,0.196
シハイスミレ,25.1,16.3,18.4,6.7,1.54,0.267
シハイスミレ,28.1,15.2,21.1,7,1.85,0.249
シハイスミレ,27,13.7,19.5,7.5,1.97,0.278
シハイスミレ,31.8,14.2,23.2,8.6,2.24,0.27
シハイスミレ,36.6,18.6,25,11.6,1.97,0.317
シハイスミレ,44,20.5,33,11,2.15,0.25
シハイスミレ,44.6,22.9,32,12.6,1.95,0.283
シハイスミレ,47.2,22.9,35.5,11.7,2.06,0.248
シハイスミレ,45.1,22.8,36,9.1,1.98,0.202
シハイスミレ,40.4,21.8,30.4,10,1.85,0.248
シハイスミレ,43,19,32,11,2.26,0.256
シハイスミレ,48.1,23,37.9,10.2,2.09,0.212
シハイスミレ,54,32.3,38,16,1.67,0.296
シハイスミレ,53.3,29.9,39,14.3,1.78,0.268
シハイスミレ,56,27,41,15,2.07,0.268
シハイスミレ,56.8,26.9,44,12.8,2.11,0.225
シハイスミレ,58.2,27.9,45.3,12.9,2.09,0.222
シハイスミレ,60.4,35,44.5,15.9,1.73,0.263
シハイスミレ,62.8,32,53.3,9.5,1.96,0.151
シハイスミレ,65.2,37.3,52.4,12.8,1.75,0.196
シハイスミレ,65.8,39,53.9,11.9,1.69,0.181
シハイスミレ,66,30.4,52,14,2.17,0.212
シハイスミレ,69.2,35.5,52.4,16.8,1.95,0.243
シハイスミレ,24.8,16,17.8,7,1.55,0.282
シハイスミレ,26,18.7,19,7,1.39,0.269
シハイスミレ,29,19,21,8,1.53,0.276
シハイスミレ,28,22,19,9,1.27,0.321
シハイスミレ,31,22,21,10,1.41,0.323
シハイスミレ,32,19,23,9,1.68,0.281
シハイスミレ,34,18.7,25,9,1.82,0.265
シハイスミレ,39,22,30,9,1.77,0.231
シハイスミレ,25.1,15.1,15.2,9.9,1.66,0.394
シハイスミレ,31.9,19.2,22.1,9.8,1.66,0.307
シハイスミレ,32.7,17.5,23,9.7,1.87,0.297
シハイスミレ,33,17.5,24,9,1.89,0.273
シハイスミレ,43,21,33,10,2.05,0.233
シハイスミレ,30,16.9,22.9,7.1,1.78,0.237
シハイスミレ,30.6,17.9,19.8,10.8,1.71,0.353
シハイスミレ,35.1,21.8,25,10.1,1.61,0.288
シハイスミレ,36.1,18.2,25.1,11,1.98,0.305
シハイスミレ,37.2,18,27.1,10.1,2.07,0.272
シハイスミレ,40.1,23,29.1,11,1.74,0.274
シハイスミレ,41.5,23.1,33.1,8.4,1.8,0.202
シハイスミレ,44.2,23,30.2,14,1.92,0.317
シハイスミレ,42.8,24.8,33.9,8.9,1.73,0.208
シハイスミレ,18.8,12.9,13.2,5.6,1.46,0.298
